"Date","Price","Open","High","Low","Vol.","Change %"
"05/12/2024","70.52","71.33","71.83","68.75","","-1.49%"
"05/05/2024","71.59","71.74","75.50","69.61","","-0.35%"
"04/28/2024","71.84","67.00","74.55","65.01","","6.41%"
"04/21/2024","67.51","68.00","69.92","64.80","","-1.47%"
"04/14/2024","68.52","71.55","74.90","68.13","","-4.36%"
"04/07/2024","71.64","60.72","71.81","59.69","","17.42%"
"03/31/2024","61.01","61.22","61.50","56.91","","-1.49%"
"03/24/2024","61.93","61.69","65.74","61.08","","0.70%"
"03/17/2024","61.50","59.50","62.87","58.80","","3.57%"
"03/10/2024","59.38","58.22","60.25","55.08","","1.50%"
"03/03/2024","58.50","56.40","62.80","53.50","","3.89%"
"02/25/2024","56.31","52.11","58.87","51.55","","7.24%"
"02/18/2024","52.51","57.11","57.11","51.12","","-8.05%"
"02/11/2024","57.11","58.64","59.05","55.41","","-2.87%"
"02/04/2024","58.80","63.80","64.31","58.20","","-7.40%"
"01/28/2024","63.50","63.60","65.14","61.30","","0.63%"
"01/21/2024","63.10","63.03","66.43","60.86","","-0.50%"
"01/14/2024","63.42","66.00","67.46","62.50","","-0.60%"
"01/07/2024","63.80","73.68","73.75","63.00","","-13.75%"
"12/31/2023","73.97","77.98","78.22","73.04","","-5.14%"
"12/24/2023","77.98","76.94","78.61","76.94","","1.35%"
"12/17/2023","76.94","68.26","77.08","67.03","","13.87%"
"12/10/2023","67.57","68.50","70.16","65.99","","-1.53%"
"12/03/2023","68.62","72.03","72.08","68.37","","-5.29%"
"11/26/2023","72.45","76.34","76.50","70.44","","-5.24%"
"11/19/2023","76.46","76.63","77.80","74.88","","0.30%"
"11/12/2023","76.23","78.50","80.27","76.02","","-2.89%"
"11/05/2023","78.50","77.48","78.85","74.84","","1.68%"
"10/29/2023","77.20","79.45","80.98","76.24","","-2.72%"
"10/22/2023","79.36","81.39","81.50","79.30","","-2.83%"
"10/15/2023","81.67","85.58","85.93","80.84","","-4.66%"
"10/08/2023","85.66","80.65","86.60","80.00","","6.25%"
"10/01/2023","80.62","81.42","82.39","79.52","","-1.02%"
"09/24/2023","81.45","85.95","85.95","81.42","","-4.51%"
"09/17/2023","85.30","82.18","86.05","80.51","","3.90%"
"09/10/2023","82.10","81.79","84.09","80.57","","0.59%"
"09/03/2023","81.62","85.63","85.63","81.28","","-4.69%"
"08/27/2023","85.64","85.40","87.28","84.52","","0.46%"
"08/20/2023","85.25","88.62","90.39","84.50","","-3.18%"
"08/13/2023","88.05","86.57","89.87","86.00","","1.44%"
"08/06/2023","86.80","83.55","86.92","82.31","","4.06%"
"07/30/2023","83.41","88.34","89.42","83.01","","-5.96%"
"07/23/2023","88.70","91.82","93.50","88.16","","-3.40%"
"07/16/2023","91.82","85.93","92.30","85.18","","6.33%"
"07/09/2023","86.35","86.16","88.32","85.11","","0.23%"
"07/02/2023","86.15","89.12","89.83","85.33","","-3.82%"
"06/25/2023","89.57","87.69","89.70","85.80","","2.31%"
"06/18/2023","87.55","91.70","96.00","87.55","","-4.75%"
"06/11/2023","91.92","86.75","95.18","84.88","","6.71%"
"06/04/2023","86.14","79.05","87.30","78.01","","9.70%"
"05/28/2023","78.52","83.01","84.46","78.47","","-5.55%"
"05/21/2023","83.13","89.43","89.71","81.94","","-7.04%"
"05/14/2023","89.43","88.50","91.24","86.13","","0.56%"
"05/07/2023","88.93","85.00","90.12","84.50","","4.67%"
"04/30/2023","84.96","87.39","90.82","83.25","","-3.07%"
"04/23/2023","87.65","90.11","90.11","85.16","","-2.46%"
"04/16/2023","89.86","94.14","96.47","89.25","","-4.52%"
"04/09/2023","94.11","96.75","98.43","93.10","","-2.73%"
"04/02/2023","96.75","91.75","98.00","91.69","","5.45%"
