district,wind_speed_avg_h80,wind_speed_avg_h100,wind_speed_avg_h120,ΠΕΡΙΦΕΡΕΙΑ
Athos,4.117834198,4.258930033,4.401635473,ΑΘΩΣ
Attica,5.514292422,5.691749311,5.858378315,ΑΤΤΙΚΗΣ
Central Greece,5.059722788,5.133135731,5.288878262,ΣΤΕΡΕΑΣ ΕΛΛΑΔ
Central Macedonia,4.315854802,4.596295256,4.731258649,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑ
Crete,6.32545398,6.44960574,6.628576974,ΚΡΗΤΗ
East Macedonia and Thrace,4.655811332,4.723170201,4.864136768,ΘΡΑΚΗ
Epirus,4.044853201,4.163841423,4.298345642,ΗΠΕΙΡΟ
Ionian Islands,4.314340431,4.348676436,4.46389941,ΙΟΝΙΩΝ ΝΗΣ
North Aegean,6.59195116,6.559164659,6.738508919,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ
Peloponnese,4.476444924,4.580021616,4.714207047,ΠΕΛΟΠΟΝΝΗΣΟΥ
South Aegean,8.418284951,8.632809418,8.86655192,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ
Thessaly,3.844988628,4.036370517,4.15733975,ΘΕΣΣΑΛΙΑ
West Greece,3.831171246,3.763525697,3.872383624,ΔΥΤΙΚΗΣ ΕΛΛΑΔ
West Macedonia,3.792087137,3.824724688,3.940087651,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑ
