ΗΜΕΡΟΜΗΝΙΑ ΥΠΟΒΟΛΗΣ ΑΙΤΗΣΗΣ,AΡΙΘΜΟΣ ΜΗΤΡΩΟΥ ΑΔΕΙΩΝ,ΗΜΕΡΟΜΗΝΙΑ ΕΚΔ. ΑΔ.ΠΑΡΑΓΩΓΗΣ,ΗΜΕΡΟΜΗΝΙΑ ΛΗΞΗΣ ΑΔ.ΠΑΡΑΓΩΓΗΣ,ΠΕΡΙΦΕΡΕΙΑ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ,ΔΗΜΟΣ,ΜΕΓΙΣΤΗ ΙΣΧΥΣ (MW),ΤΕΧΝΟΛΟΓΙΑ,ΜΗΝΑΣ ΕΚΔ. ΑΔ.ΠΑΡΑΓΩΓΗΣ,ΕΒΔΟΜΑΔΑ ΕΚΔ. ΑΔ.ΠΑΡΑΓΩΓΗΣ,ΔΙΑΣΤΗΜΑ ΕΓΚΡΙΣΗΣ ΣΕ ΜΗΝΕΣ,ΔΙΑΣΤΗΜΑ ΕΓΚΡΙΣΗΣ ΣΕ ΕΒΔΟΜΑΔΕΣ,ΔΙΑΡΚΕΙΑ ΑΔΕΙΑΣ ΣΕ ΜΗΝΕΣ,ΔΙΑΡΚΕΙΑ ΑΔΕΙΑΣ ΣΕ ΕΒΔΟΜΑΔΕΣ
2008-03-05 00:00:00,ΑΔ-01171,1988-12-31 00:00:00,2038-12-31 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΟΣ,ΦΩΚΙΔΑΣ,ΔΕΛΦΩΝ,8.5,ΜΥΗΕ,1988-12,1988-52,-231,-1000,599,2608
2008-03-05 00:00:00,ΑΔ-01144,1990-12-31 00:00:00,2042-12-31 00:00:00,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΚΥΚΛΑΔΩΝ,ΚΥΘΝΟΥ,0.165,ΑΙΟΛΙΚΑ,1990-12,1990-53,-207,-896,624,2713
2008-03-05 00:00:00,ΑΔ-01134,1991-12-31 00:00:00,2036-01-27 00:00:00,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΔΩΔΕΚΑΝΗΣΟΥ,ΚΑΡΠΑΘΟΥ,0.45,ΑΙΟΛΙΚΑ,1991-12,1991-52,-195,-844,528,2299
2008-03-05 00:00:00,ΑΔ-01147,1991-12-31 00:00:00,2036-01-27 00:00:00,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΣΑΜΟΥ,ΙΚΑΡΙΑΣ,0.385,ΑΙΟΛΙΚΑ,1991-12,1991-52,-195,-844,528,2299
2008-03-05 00:00:00,ΑΔ-01166,1991-12-31 00:00:00,2042-12-31 00:00:00,ΚΡΗΤΗΣ,ΧΑΝΙΩΝ,ΑΠΟΚΟΡΩΝΟΥ,0.3,ΜΥΗΕ,1991-12,1991-52,-195,-844,612,2661
2008-03-05 00:00:00,ΑΔ-01136,1992-12-31 00:00:00,2036-02-16 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΟΣ,ΕΥΒΟΙΑΣ,ΚΑΡΥΣΤΟΥ,4.83,ΑΙΟΛΙΚΑ,1992-12,1992-52,-183,-791,517,2250
2008-03-05 00:00:00,ΑΔ-01138,1992-12-31 00:00:00,2039-02-03 00:00:00,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΧΙΟΥ,ΨΑΡΩΝ,1.8,ΑΙΟΛΙΚΑ,1992-12,1992-52,-183,-791,553,2405
2008-03-05 00:00:00,ΑΔ-01140,1992-12-31 00:00:00,2039-01-20 00:00:00,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΧΙΟΥ,ΧΙΟΥ,2.475,ΑΙΟΛΙΚΑ,1992-12,1992-52,-183,-791,552,2403
2008-03-05 00:00:00,ΑΔ-01148,1992-12-31 00:00:00,2036-01-27 00:00:00,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΛΕΣΒΟΥ,ΛΗΜΝΟΥ,0.7,ΑΙΟΛΙΚΑ,1992-12,1992-52,-183,-791,516,2247
2008-03-05 00:00:00,ΑΔ-01149,1992-12-31 00:00:00,2040-03-26 00:00:00,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΚΥΚΛΑΔΩΝ,ΑΝΔΡΟΥ,1.575,ΑΙΟΛΙΚΑ,1992-12,1992-52,-183,-791,566,2464
2008-03-05 00:00:00,ΑΔ-01170,1992-12-31 00:00:00,2042-12-31 00:00:00,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΗΜΑΘΙΑΣ,ΒΕΡΟΙΑΣ,10.8,ΜΥΗΕ,1992-12,1992-52,-183,-791,599,2608
2008-03-05 00:00:00,ΑΔ-01131,1993-12-31 00:00:00,2037-01-25 00:00:00,ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,ΣΗΤΕΙΑΣ,6.0,ΑΙΟΛΙΚΑ,1993-12,1993-52,-171,-739,516,2247
2008-03-05 00:00:00,ΑΔ-01165,1993-12-31 00:00:00,2043-12-31 00:00:00,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΣΕΡΡΩΝ,ΣΕΡΡΩΝ,0.6,ΜΥΗΕ,1993-12,1993-52,-171,-739,599,2608
2008-03-05 00:00:00,ΑΔ-01184,1996-12-31 00:00:00,2046-12-31 00:00:00,ΗΠΕΙΡΟΥ,ΠΡΕΒΕΖΗΣ - ΑΡΤΗΣ,ΖΗΡΟΥ - ΑΡΤΑΙΩΝ,8.7,ΜΥΗΕ,1996-12,1996-53,-135,-583,599,2608
2008-03-05 00:00:00,ΑΔ-01168,1996-12-31 00:00:00,2046-12-31 00:00:00,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΗΜΑΘΙΑΣ,ΒΕΡΟΙΑΣ,1.984,ΜΥΗΕ,1996-12,1996-53,-135,-583,599,2608
2008-03-05 00:00:00,ΑΔ-01185,1997-12-31 00:00:00,2022-12-31 00:00:00,ΔΥΤΙΚΗΣ ΕΛΛΑΔΟΣ,ΑΧΑΙΑΣ,ΠΑΤΡΕΩΝ,3.7,ΜΥΗΕ,1997-12,1997-52,-123,-531,299,1304
2008-03-05 00:00:00,ΑΔ-01169,1998-12-31 00:00:00,2023-12-31 00:00:00,ΔΥΤΙΚΗΣ ΕΛΛΑΔΟΣ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΑΓΡΙΝΙΟΥ,6.2,ΜΥΗΕ,1998-12,1998-52,-111,-478,299,1304
2008-03-05 00:00:00,ΑΔ-01145,1999-12-31 00:00:00,2024-12-31 00:00:00,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΚΥΚΛΑΔΩΝ,ΚΥΘΝΟΥ,0.5,ΑΙΟΛΙΚΑ,1999-12,1999-52,-99,-426,300,1304
2008-03-05 00:00:00,ΑΔ-01132,1999-12-31 00:00:00,2024-12-31 00:00:00,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΛΕΣΒΟΥ,ΛΕΣΒΟΥ,2.025,ΑΙΟΛΙΚΑ,1999-12,1999-52,-99,-426,300,1304
2008-03-05 00:00:00,ΑΔ-01172,2000-12-31 00:00:00,2025-12-31 00:00:00,ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,ΣΗΤΕΙΑΣ,4.8,ΑΙΟΛΙΚΑ,2000-12,2000-52,-87,-374,299,1304
2008-03-05 00:00:00,ΑΔ-01173,2000-12-31 00:00:00,2025-12-31 00:00:00,ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,ΣΗΤΕΙΑΣ,5.4,ΑΙΟΛΙΚΑ,2000-12,2000-52,-87,-374,299,1304
2001-02-19 00:00:00,ΑΔ-00001,2001-05-29 00:00:00,2026-05-29 00:00:00,ΗΠΕΙΡΟΥ,ΙΩΑΝΝΙΝΩΝ,ΜΕΤΣΟΒΟΥ,2.155,ΜΥΗΕ,2001-05,2001-22,3,14,299,1304
2001-02-13 00:00:00,ΑΔ-00002,2001-05-29 00:00:00,2026-05-29 00:00:00,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΠΕΛΛΑΣ,ΑΛΜΩΠΙΑΣ,0.83,ΜΥΗΕ,2001-05,2001-22,3,15,299,1304
2001-02-19 00:00:00,ΑΔ-00040,2001-06-18 00:00:00,2041-06-09 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΟΣ,ΒΟΙΩΤΙΑΣ,ΛΕΒΑΔΕΩΝ,2.42,ΑΙΟΛΙΚΑ ,2001-06,2001-25,3,17,479,2085
2001-02-08 00:00:00,ΑΔ-00039,2001-06-18 00:00:00,2026-06-18 00:00:00,ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,ΣΗΤΕΙΑΣ,10.0,ΑΙΟΛΙΚΑ ,2001-06,2001-25,4,18,299,1304
2001-02-08 00:00:00,ΑΔ-00038,2001-06-18 00:00:00,2026-06-18 00:00:00,ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,ΣΗΤΕΙΑΣ,10.0,ΑΙΟΛΙΚΑ ,2001-06,2001-25,4,18,299,1304
2001-02-19 00:00:00,ΑΔ-00037,2001-06-18 00:00:00,2041-06-09 00:00:00,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΧΙΟΥ,ΧΙΟΥ,0.28,ΑΙΟΛΙΚΑ ,2001-06,2001-25,3,17,479,2085
2001-02-19 00:00:00,ΑΔ-00036,2001-06-18 00:00:00,2041-06-09 00:00:00,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΧΙΟΥ,ΧΙΟΥ,0.6,ΑΙΟΛΙΚΑ ,2001-06,2001-25,3,17,479,2085
2001-02-19 00:00:00,ΑΔ-00035,2001-06-18 00:00:00,2026-06-18 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΟΣ,ΕΥΒΟΙΑΣ,ΚΑΡΥΣΤΟΥ,3.6,ΑΙΟΛΙΚΑ ,2001-06,2001-25,3,17,299,1304
2001-02-19 00:00:00,ΑΔ-00034,2001-06-18 00:00:00,2041-06-09 00:00:00,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΧΙΟΥ,ΧΙΟΥ,0.6,ΑΙΟΛΙΚΑ ,2001-06,2001-25,3,17,479,2085
2001-02-19 00:00:00,ΑΔ-00033,2001-06-18 00:00:00,2041-06-09 00:00:00,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΧΙΟΥ,ΧΙΟΥ,0.28,ΑΙΟΛΙΚΑ ,2001-06,2001-25,3,17,479,2085
2001-02-08 00:00:00,ΑΔ-00042,2001-06-18 00:00:00,2041-06-15 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΟΣ,ΕΥΒΟΙΑΣ,ΚΑΡΥΣΤΟΥ,0.78,ΑΙΟΛΙΚΑ ,2001-06,2001-25,4,18,479,2086
2001-02-08 00:00:00,ΑΔ-00032,2001-06-18 00:00:00,2026-06-18 00:00:00,ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,ΣΗΤΕΙΑΣ,5.0,ΑΙΟΛΙΚΑ ,2001-06,2001-25,4,18,299,1304
2001-02-19 00:00:00,ΑΔ-00031,2001-06-18 00:00:00,2041-06-09 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΟΣ,ΒΟΙΩΤΙΑΣ,ΛΕΒΑΔΕΩΝ,3.6,ΑΙΟΛΙΚΑ ,2001-06,2001-25,3,17,479,2085
