ΗΜΕΡΟΜΗΝΙΑ ΥΠΟΒΟΛΗΣ ΑΙΤΗΣΗΣ,AΡΙΘΜΟΣ ΜΗΤΡΩΟΥ ΑΔΕΙΩΝ,ΗΜΕΡΟΜΗΝΙΑ ΕΚΔ. ΑΔ.ΠΑΡΑΓΩΓΗΣ,ΗΜΕΡΟΜΗΝΙΑ ΛΗΞΗΣ ΑΔ.ΠΑΡΑΓΩΓΗΣ,ΠΕΡΙΦΕΡΕΙΑ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ,ΔΗΜΟΣ,ΜΕΓΙΣΤΗ ΙΣΧΥΣ (MW),ΤΕΧΝΟΛΟΓΙΑ,ΜΗΝΑΣ ΕΚΔ. ΑΔ.ΠΑΡΑΓΩΓΗΣ,ΕΒΔΟΜΑΔΑ ΕΚΔ. ΑΔ.ΠΑΡΑΓΩΓΗΣ,ΔΙΑΣΤΗΜΑ ΕΓΚΡΙΣΗΣ ΣΕ ΜΗΝΕΣ,ΔΙΑΣΤΗΜΑ ΕΓΚΡΙΣΗΣ ΣΕ ΕΒΔΟΜΑΔΕΣ,ΔΙΑΡΚΕΙΑ ΑΔΕΙΑΣ ΣΕ ΜΗΝΕΣ,ΔΙΑΡΚΕΙΑ ΑΔΕΙΑΣ ΣΕ ΕΒΔΟΜΑΔΕΣ
2001-02-19 00:00:00,ΑΔ-00001,2001-05-29 00:00:00,2026-05-29 00:00:00,ΗΠΕΙΡΟΥ,ΙΩΑΝΝΙΝΩΝ,ΜΕΤΣΟΒΟΥ,2.155,ΜΥΗΕ,2001-05,2001-22,3,14,299,1304
2001-02-13 00:00:00,ΑΔ-00002,2001-05-29 00:00:00,2026-05-29 00:00:00,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΠΕΛΛΑΣ,ΑΛΜΩΠΙΑΣ,0.83,ΜΥΗΕ,2001-05,2001-22,3,15,299,1304
2001-02-08 00:00:00,ΑΔ-00022,2001-06-18 00:00:00,2041-03-22 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΟΣ,ΕΥΒΟΙΑΣ,ΚΑΡΥΣΤΟΥ,5.0,ΑΙΟΛΙΚΑ ,2001-06,2001-25,4,18,477,2074
2001-02-19 00:00:00,ΑΔ-00023,2001-06-18 00:00:00,2026-06-18 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΟΣ,ΕΥΡΥΤΑΝΙΑΣ,ΑΓΡΑΦΩΝ,3.0,ΜΥΗΕ,2001-06,2001-25,3,17,299,1304
2001-02-12 00:00:00,ΑΔ-00024,2001-06-18 00:00:00,2026-06-18 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΟΣ,ΕΥΒΟΙΑΣ,ΚΑΡΥΣΤΟΥ,12.0,ΑΙΟΛΙΚΑ ,2001-06,2001-25,4,18,299,1304
2001-02-19 00:00:00,ΑΔ-00025,2001-06-18 00:00:00,2026-06-18 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΟΣ,ΕΥΒΟΙΑΣ,ΚΥΜΗΣ-ΑΛΙΒΕΡΙΟΥ,11.22,ΑΙΟΛΙΚΑ ,2001-06,2001-25,3,17,299,1304
2001-02-08 00:00:00,ΑΔ-00027,2001-06-18 00:00:00,2026-06-18 00:00:00,ΔΥΤΙΚΗΣ ΕΛΛΑΔΟΣ,ΑΧΑΙΑΣ,ΚΑΛΑΒΡΥΤΩΝ,1.3,ΜΥΗΕ,2001-06,2001-25,4,18,299,1304
2001-02-19 00:00:00,ΑΔ-00028,2001-06-18 00:00:00,2041-05-19 00:00:00,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΚΥΚΛΑΔΩΝ,ΜΥΚΟΝΟΥ,0.3,ΑΙΟΛΙΚΑ ,2001-06,2001-25,3,17,479,2082
2001-02-08 00:00:00,ΑΔ-00030,2001-06-18 00:00:00,2041-04-26 00:00:00,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΣΑΜΟΥ,ΣΑΜΟΥ,1.0,ΑΙΟΛΙΚΑ ,2001-06,2001-25,4,18,478,2079
2001-02-19 00:00:00,ΑΔ-00031,2001-06-18 00:00:00,2041-06-09 00:00:00,ΣΤΕΡΕΑΣ ΕΛΛΑΔΟΣ,ΒΟΙΩΤΙΑΣ,ΛΕΒΑΔΕΩΝ,3.6,ΑΙΟΛΙΚΑ ,2001-06,2001-25,3,17,479,2085
2001-02-08 00:00:00,ΑΔ-00032,2001-06-18 00:00:00,2026-06-18 00:00:00,ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,ΣΗΤΕΙΑΣ,5.0,ΑΙΟΛΙΚΑ ,2001-06,2001-25,4,18,299,1304
